nome_produto;preco;qt_vendida;data_venda
Placa de Vídeo RTX 4060;2199.9;2;2024-03-01
Processador Intel i7-13700K;2850.4;1;2024-03-01
SSD NVMe 1TB Kingston;389.55;5;2024-03-02
Memória RAM DDR4 16GB Corsair;320.5;3;2024-03-02
Monitor Gamer 27' 144Hz;1250.32;1;2024-03-03
Mouse Logitech G Pro Wireless;599.6;4;2024-03-03
Teclado Mecânico Razer BlackWidow;890.32;2;2024-03-04
Fonte 750W 80 Plus Gold;645.88;2;2024-03-05
Gabinete Mid Tower RGB;420.68;3;2024-03-05
Placa-Mãe ASUS ROG Strix;1750.78;1;2024-03-06
