nome_produto;preco_unitario;quantidade_vendida;data_venda;valor_total
Placa de Vídeo RTX 4060;2199.90;2;2024-03-01;4399.80
Processador Intel i7-13700K;2850.40;1;2024-03-01;2850.40
SSD NVMe 1TB Kingston;389.55;5;2024-03-02;1947.75
Memória RAM DDR4 16GB Corsair;320.50;3;2024-03-02;961.50
Monitor Gamer 27' 144Hz;1250.32;1;2024-03-03;1250.32
Mouse Logitech G Pro Wireless;599.60;4;2024-03-03;2398.40
Teclado Mecânico Razer BlackWidow;890.32;2;2024-03-04;1780.64
Fonte 750W 80 Plus Gold;645.88;2;2024-03-05;1291.76
Gabinete Mid Tower RGB;420.68;3;2024-03-05;1262.04
Placa-Mãe ASUS ROG Strix;1750.78;1;2024-03-06;1750.78
